ID Year,Year,ID University,University,ID CIP6,CIP6,Completions,Slug University,ID Sex,Sex
2015,"2015","122755","San Jose State University","250101","Library & Information Science",387,"san-jose-state-university",2,"Women"
2015,"2015","122755","San Jose State University","420101","General Psychology",238,"san-jose-state-university",2,"Women"
2015,"2015","122755","San Jose State University","520201","General Business Administration & Management",584,"san-jose-state-university",2,"Women"
2014,"2014","122755","San Jose State University","140901","General Computer Engineering",57,"san-jose-state-university",1,"Men"
2014,"2014","122755","San Jose State University","140903","Computer Software Engineering",157,"san-jose-state-university",1,"Men"
2014,"2014","122755","San Jose State University","250101","Library & Information Science",96,"san-jose-state-university",1,"Men"
2014,"2014","122755","San Jose State University","420101","General Psychology",93,"san-jose-state-university",1,"Men"
2014,"2014","122755","San Jose State University","520201","General Business Administration & Management",708,"san-jose-state-university",1,"Men"
2014,"2014","122755","San Jose State University","140901","General Computer Engineering",33,"san-jose-state-university",2,"Women"
2014,"2014","122755","San Jose State University","140903","Computer Software Engineering",84,"san-jose-state-university",2,"Women"
2014,"2014","122755","San Jose State University","250101","Library & Information Science",471,"san-jose-state-university",2,"Women"
2014,"2014","122755","San Jose State University","420101","General Psychology",247,"san-jose-state-university",2,"Women"
2014,"2014","122755","San Jose State University","520201","General Business Administration & Management",588,"san-jose-state-university",2,"Women"
2013,"2013","122755","San Jose State University","140901","General Computer Engineering",91,"san-jose-state-university",1,"Men"
2013,"2013","122755","San Jose State University","140903","Computer Software Engineering",114,"san-jose-state-university",1,"Men"
2013,"2013","122755","San Jose State University","250101","Library & Information Science",96,"san-jose-state-university",1,"Men"
2013,"2013","122755","San Jose State University","420101","General Psychology",97,"san-jose-state-university",1,"Men"
2013,"2013","122755","San Jose State University","520201","General Business Administration & Management",718,"san-jose-state-university",1,"Men"
2013,"2013","122755","San Jose State University","140901","General Computer Engineering",45,"san-jose-state-university",2,"Women"
2013,"2013","122755","San Jose State University","140903","Computer Software Engineering",82,"san-jose-state-university",2,"Women"
2013,"2013","122755","San Jose State University","250101","Library & Information Science",455,"san-jose-state-university",2,"Women"
2013,"2013","122755","San Jose State University","420101","General Psychology",239,"san-jose-state-university",2,"Women"
2013,"2013","122755","San Jose State University","520201","General Business Administration & Management",645,"san-jose-state-university",2,"Women"
2012,"2012","122755","San Jose State University","140901","General Computer Engineering",98,"san-jose-state-university",1,"Men"
2012,"2012","122755","San Jose State University","140903","Computer Software Engineering",126,"san-jose-state-university",1,"Men"
2012,"2012","122755","San Jose State University","250101","Library & Information Science",130,"san-jose-state-university",1,"Men"
2012,"2012","122755","San Jose State University","420101","General Psychology",93,"san-jose-state-university",1,"Men"
2012,"2012","122755","San Jose State University","520201","General Business Administration & Management",801,"san-jose-state-university",1,"Men"
2012,"2012","122755","San Jose State University","140901","General Computer Engineering",29,"san-jose-state-university",2,"Women"
2012,"2012","122755","San Jose State University","140903","Computer Software Engineering",102,"san-jose-state-university",2,"Women"
2012,"2012","122755","San Jose State University","250101","Library & Information Science",526,"san-jose-state-university",2,"Women"
2012,"2012","122755","San Jose State University","420101","General Psychology",239,"san-jose-state-university",2,"Women"
2012,"2012","122755","San Jose State University","520201","General Business Administration & Management",621,"san-jose-state-university",2,"Women"
