ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
"50","Visual & Performing Arts","5009","Music","500901","General Music",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",13,"san-jose-state-university","general-music"
"50","Visual & Performing Arts","5009","Music","500903","General Music Performance",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",31,"san-jose-state-university","general-music-performance"
"51","Health","5100","General Allied Health & Health Sciences","510000","General Health Services",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",6,"san-jose-state-university","general-health-services"
"51","Health","5102","Communication Disorders Sciences & Services","510201","General Communication Sciences & Disorders",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",37,"san-jose-state-university","general-communication-sciences-disorders"
"51","Health","5109","Allied Diagnostic, Intervention, & Treatment Professions","510913","Athletic Trainer",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",13,"san-jose-state-university","athletic-trainer"
"51","Health","5122","Public Health","512201","General Public Health",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",221,"san-jose-state-university","general-public-health"
"51","Health","5123","Rehabilitation & Therapeutic Professions","512306","Occupational Therapy",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",0,"san-jose-state-university","occupational-therapy"
"51","Health","5131","Dietetics & Clinical Nutrition Services","513101","Dietetics",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",0,"san-jose-state-university","dietetics"
"51","Health","5138","Registered Nursing, Nursing Administration, & Nursing Research","513801","Registered Nursing",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",170,"san-jose-state-university","registered-nursing"
"52","Business","5202","Business Administration, Management, & Operations","520201","General Business Administration & Management",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",1548,"san-jose-state-university","general-business-administration-management"
"52","Business","5209","Hospitality Management","520901","General Hospitality Management",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",55,"san-jose-state-university","general-hospitality-management"
"52","Business","5210","Human Resource Management & Services","521003","Organizational Behavior Studies",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",15,"san-jose-state-university","organizational-behavior-studies"
"54","History","5401","History","540101","General History",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",48,"san-jose-state-university","general-history"
